4500000000,-62.445499420166
4500640341.51548,-78.6354904174805
4501280683.03095,-64.8907775878906
4501921024.54642,-76.7630157470703
4502561366.0619,-60.7921829223633
4503201707.57737,-83.40625
4503842049.09285,-62.9478950500488
4504482390.60832,-89.6981887817383
4505122732.1238,-64.3583831787109
4505763073.63927,-73.8009185791016
4506403415.15475,-66.6941528320313
4507043756.67022,-82.709228515625
4507684098.1857,-61.2241668701172
4508324439.70117,-76.8460540771484
4508964781.21665,-61.6755638122559
4509605122.73212,-81.2227401733398
4510245464.2476,-63.4726257324219
4510885805.76307,-80.2549743652344
4511526147.27855,-61.336311340332
4512166488.79402,-76.475341796875
4512806830.3095,-60.0510520935059
4513447171.82497,-73.3483276367188
4514087513.34045,-60.374568939209
4514727854.85592,-75.96337890625
4515368196.3714,-62.2789344787598
4516008537.88687,-78.2932739257813
4516648879.40235,-62.8560028076172
4517289220.91782,-82.624397277832
4517929562.4333,-64.3612976074219
4518569903.94877,-70.8221969604492
4519210245.46425,-61.2996978759766
4519850586.97972,-81.1930313110352
4520490928.4952,-64.5364990234375
4521131270.01067,-84.6576690673828
4521771611.52615,-59.8778839111328
4522411953.04162,-74.4789428710938
4523052294.5571,-60.1999320983887
4523692636.07257,-76.5119171142578
4524332977.58805,-61.8889579772949
4524973319.10352,-81.871223449707
4525613660.619,-63.6764717102051
4526254002.13447,-74.7880477905273
4526894343.64995,-63.3209037780762
4527534685.16542,-90.1108856201172
4528175026.6809,-62.9763641357422
4528815368.19637,-73.716796875
4529455709.71185,-62.8368721008301
4530096051.22732,-75.2073974609375
4530736392.7428,-61.9962501525879
4531376734.25827,-71.3601455688477
4532017075.77375,-64.4753341674805
4532657417.28922,-72.0658340454102
4533297758.8047,-62.4419097900391
4533938100.32017,-72.1762161254883
4534578441.83565,-62.6022682189941
4535218783.35112,-77.5707931518555
4535859124.8666,-64.9115829467773
4536499466.38207,-74.2718124389648
4537139807.89755,-63.0045700073242
4537780149.41302,-77.7305679321289
4538420490.9285,-64.6303939819336
4539060832.44397,-86.2743453979492
4539701173.95945,-63.2731094360352
4540341515.47492,-81.2041625976563
4540981856.99039,-62.344295501709
4541622198.50587,-86.4091262817383
4542262540.02135,-60.3365936279297
4542902881.53682,-77.0777816772461
4543543223.05229,-62.0579605102539
4544183564.56777,-80.8951873779297
4544823906.08324,-63.0921592712402
4545464247.59872,-73.8186264038086
4546104589.11419,-63.3833389282227
4546744930.62967,-85.3837356567383
4547385272.14514,-61.0294799804688
4548025613.66062,-83.2283096313477
4548665955.17609,-60.9340858459473
4549306296.69157,-78.4080047607422
4549946638.20704,-63.7630004882813
4550586979.72252,-82.0916519165039
4551227321.23799,-61.1394195556641
4551867662.75347,-85.0293426513672
4552508004.26894,-63.106990814209
4553148345.78442,-81.5348587036133
4553788687.29989,-61.1838073730469
4554429028.81537,-76.9056396484375
4555069370.33084,-65.4289474487305
4555709711.84632,-76.9197463989258
4556350053.36179,-63.9121780395508
4556990394.87727,-72.4184036254883
4557630736.39274,-60.9983024597168
4558271077.90822,-77.8166580200195
4558911419.42369,-64.0726852416992
4559551760.93917,-76.0140075683594
4560192102.45464,-64.1485290527344
4560832443.97012,-75.0263977050781
4561472785.48559,-64.9798889160156
4562113127.00107,-73.9873428344727
4562753468.51654,-62.9663047790527
4563393810.03202,-76.7846527099609
4564034151.54749,-63.9439163208008
4564674493.06297,-82.4151458740234
4565314834.57844,-63.5229415893555
4565955176.09392,-70.2565002441406
4566595517.60939,-62.589714050293
4567235859.12487,-76.1875839233398
4567876200.64034,-60.604061126709
4568516542.15582,-76.083366394043
4569156883.67129,-62.3651161193848
4569797225.18677,-90.7116851806641
4570437566.70224,-60.3632926940918
4571077908.21772,-79.0932235717773
4571718249.73319,-62.4506568908691
4572358591.24867,-75.1085433959961
4572998932.76414,-62.7315483093262
4573639274.27962,-74.4472427368164
4574279615.79509,-65.2988204956055
4574919957.31057,-72.6129837036133
4575560298.82604,-60.6313858032227
4576200640.34152,-74.1976547241211
4576840981.85699,-61.7324676513672
4577481323.37247,-83.4381561279297
4578121664.88794,-64.2299270629883
4578762006.40341,-75.6068115234375
4579402347.91889,-61.4255523681641
4580042689.43437,-75.2608032226563
4580683030.94984,-58.8762016296387
4581323372.46531,-68.3216781616211
4581963713.98079,-63.493953704834
4582604055.49626,-77.8995132446289
4583244397.01174,-60.1979064941406
4583884738.52721,-77.7379760742188
4584525080.04269,-62.8276557922363
4585165421.55816,-81.7016296386719
4585805763.07364,-61.512264251709
4586446104.58911,-69.60986328125
4587086446.10459,-60.1241111755371
4587726787.62006,-87.7151718139648
4588367129.13554,-65.4327011108398
4589007470.65101,-69.7292175292969
4589647812.16649,-63.9129981994629
4590288153.68196,-78.5287551879883
4590928495.19744,-62.1110801696777
4591568836.71291,-76.1352081298828
4592209178.22839,-59.6036186218262
4592849519.74386,-81.6929473876953
4593489861.25934,-62.334789276123
4594130202.77481,-87.0588607788086
4594770544.29029,-61.3413009643555
4595410885.80576,-87.8931579589844
4596051227.32124,-61.6295394897461
4596691568.83671,-74.1125106811523
4597331910.35219,-54.6771850585938
4597972251.86766,-61.1469039916992
4598612593.38314,-50.3044586181641
4599252934.89861,-50.6536254882813
4599893276.41409,-46.871711730957
4600533617.92956,-47.31201171875
4601173959.44504,-45.8532371520996
4601814300.96051,-49.8535690307617
